date,Nonfarm Payroll,Total Private Payroll,Unemployment Rate,U-6 Underemployment Rate,Labor Force Participation Rate,Employment Level
1939-01-01,29923.0,25935.0,,,,
1939-02-01,30100.0,26099.0,,,,
1939-03-01,30280.0,26278.0,,,,
1939-04-01,30094.0,26092.0,,,,
1939-05-01,30299.0,26293.0,,,,
1939-06-01,30502.0,26499.0,,,,
1939-07-01,30419.0,26400.0,,,,
1939-08-01,30663.0,26617.0,,,,
1939-09-01,31031.0,26955.0,,,,
1939-10-01,31411.0,27322.0,,,,
1939-11-01,31470.0,27361.0,,,,
1939-12-01,31542.0,27408.0,,,,
1940-01-01,31603.0,27453.0,,,,
1940-02-01,31715.0,27565.0,,,,
1940-03-01,31825.0,27674.0,,,,
1940-04-01,31701.0,27549.0,,,,
1940-05-01,31879.0,27707.0,,,,
1940-06-01,31977.0,27759.0,,,,
1940-07-01,31942.0,27681.0,,,,
1940-08-01,32352.0,28070.0,,,,
1940-09-01,32810.0,28498.0,,,,
1940-10-01,33267.0,28914.0,,,,
1940-11-01,33669.0,29273.0,,,,
1940-12-01,34174.0,29759.0,,,,
1941-01-01,34481.0,30013.0,,,,
1941-02-01,34843.0,30339.0,,,,
1941-03-01,35092.0,30557.0,,,,
1941-04-01,35468.0,30883.0,,,,
1941-05-01,36182.0,31540.0,,,,
1941-06-01,36650.0,31949.0,,,,
1941-07-01,37137.0,32387.0,,,,
1941-08-01,37544.0,32723.0,,,,
1941-09-01,37835.0,32944.0,,,,
1941-10-01,37949.0,33042.0,,,,
1941-11-01,38024.0,33075.0,,,,
1941-12-01,38104.0,33133.0,,,,
1942-01-01,38347.0,33258.0,,,,
1942-02-01,38512.0,33366.0,,,,
1942-03-01,38935.0,33678.0,,,,
1942-04-01,39352.0,33995.0,,,,
1942-05-01,39771.0,34340.0,,,,
1942-06-01,40029.0,34519.0,,,,
1942-07-01,40472.0,34881.0,,,,
1942-08-01,40988.0,35174.0,,,,
1942-09-01,41259.0,35393.0,,,,
1942-10-01,41515.0,35559.0,,,,
1942-11-01,41674.0,35648.0,,,,
1942-12-01,41915.0,35843.0,,,,
1943-01-01,42172.0,36040.0,,,,
1943-02-01,42393.0,36170.0,,,,
1943-03-01,42552.0,36295.0,,,,
1943-04-01,42647.0,36380.0,,,,
1943-05-01,42596.0,36315.0,,,,
1943-06-01,42781.0,36457.0,,,,
1943-07-01,42700.0,36443.0,,,,
1943-08-01,42546.0,36395.0,,,,
1943-09-01,42492.0,36325.0,,,,
1943-10-01,42675.0,36505.0,,,,
1943-11-01,42821.0,36642.0,,,,
1943-12-01,42746.0,36475.0,,,,
1944-01-01,42654.0,36492.0,,,,
1944-02-01,42538.0,36409.0,,,,
1944-03-01,42294.0,36181.0,,,,
1944-04-01,42063.0,35951.0,,,,
1944-05-01,41985.0,35864.0,,,,
1944-06-01,41947.0,35800.0,,,,
1944-07-01,41904.0,35714.0,,,,
1944-08-01,41850.0,35646.0,,,,
1944-09-01,41679.0,35463.0,,,,
1944-10-01,41708.0,35485.0,,,,
1944-11-01,41711.0,35448.0,,,,
1944-12-01,41860.0,35485.0,,,,
1945-01-01,41895.0,35641.0,,,,
1945-02-01,41897.0,35658.0,,,,
1945-03-01,41798.0,35582.0,,,,
1945-04-01,41446.0,35261.0,,,,
1945-05-01,41304.0,35145.0,,,,
1945-06-01,41149.0,34968.0,,,,
1945-07-01,40874.0,34689.0,,,,
1945-08-01,40466.0,34331.0,,,,
1945-09-01,38507.0,32565.0,,,,
1945-10-01,38600.0,32746.0,,,,
1945-11-01,38996.0,33166.0,,,,
1945-12-01,39110.0,33299.0,,,,
1946-01-01,39829.0,34044.0,,,,
1946-02-01,39244.0,33466.0,,,,
1946-03-01,40195.0,34437.0,,,,
1946-04-01,40913.0,35152.0,,,,
1946-05-01,41349.0,35617.0,,,,
1946-06-01,41735.0,36055.0,,,,
1946-07-01,42153.0,36471.0,,,,
1946-08-01,42642.0,36961.0,,,,
1946-09-01,42915.0,37246.0,,,,
1946-10-01,43093.0,37429.0,,,,
1946-11-01,43395.0,37756.0,,,,
1946-12-01,43379.0,37751.0,,,,
1947-01-01,43535.0,37916.0,,,,
1947-02-01,43557.0,37951.0,,,,
1947-03-01,43607.0,38019.0,,,,
1947-04-01,43499.0,37941.0,,,,
1947-05-01,43638.0,38087.0,,,,
1947-06-01,43810.0,38286.0,,,,
1947-07-01,43743.0,38219.0,,,,
1947-08-01,43960.0,38441.0,,,,
1947-09-01,44203.0,38664.0,,,,
1947-10-01,44411.0,38845.0,,,,
1947-11-01,44484.0,38899.0,,,,
1947-12-01,44581.0,38976.0,,,,
1948-01-01,44679.0,39055.0,3.4,,58.6,58061.0
1948-02-01,44533.0,38918.0,3.8,,58.9,58196.0
1948-03-01,44683.0,39060.0,4.0,,58.5,57671.0
1948-04-01,44379.0,38736.0,3.9,,59.0,58291.0
1948-05-01,44796.0,39115.0,3.5,,58.3,57854.0
1948-06-01,45034.0,39298.0,3.6,,59.2,58743.0
1948-07-01,45160.0,39386.0,3.6,,59.3,58968.0
1948-08-01,45178.0,39387.0,3.9,,58.9,58456.0
1948-09-01,45294.0,39489.0,3.8,,58.9,58513.0
